FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-01-07 5:22,33.93911,67.709953,53105,2244,42666,8195,Afghanistan,136.4173213,4.225590811
,,,Albania,2021-01-07 5:22,41.1533,20.1683,61008,1217,36102,23689,Albania,2119.952742,1.994820351
,,,Algeria,2021-01-07 5:22,28.0339,1.6596,101120,2786,68383,29951,Algeria,230.598848,2.755142405
,,,Andorra,2021-01-07 5:22,42.5063,1.5218,8348,84,7615,649,Andorra,10804.37456,1.006229037
,,,Angola,2021-01-07 5:22,-11.2027,17.8739,17864,413,11477,5974,Angola,54.35360048,2.311912226
,,,Antigua and Barbuda,2021-01-07 5:22,17.0608,-61.7964,163,5,149,9,Antigua and Barbuda,166.4488195,3.067484663
,,,Argentina,2021-01-07 5:22,-38.4161,-63.6167,1676171,43976,1474048,158147,Argentina,3708.68942,2.623598666
,,,Armenia,2021-01-07 5:22,40.0691,45.0382,160853,2890,146576,11387,Armenia,5428.292197,1.796671495
,,Australian Capital Territory,Australia,2021-01-07 5:22,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881
,,New South Wales,Australia,2021-01-07 5:22,-33.8688,151.2093,4984,54,3210,1720,"New South Wales, Australia",61.39443213,1.083467095
,,Northern Territory,Australia,2021-01-07 5:22,-12.4634,130.8456,87,0,71,16,"Northern Territory, Australia",35.42345277,0
,,Queensland,Australia,2021-01-07 5:22,-27.4698,153.0251,1265,6,1234,25,"Queensland, Australia",24.72876552,0.4743083
,,South Australia,Australia,2021-01-07 5:22,-34.9285,138.6007,582,4,568,10,"South Australia, Australia",33.13407344,0.687285223
,,Tasmania,Australia,2021-01-07 5:22,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
,,Victoria,Australia,2021-01-07 5:22,-37.8136,144.9631,20402,820,19544,38,"Victoria, Australia",307.727115,4.019213803
,,Western Australia,Australia,2021-01-07 5:22,-31.9505,115.8605,874,9,847,18,"Western Australia, Australia",33.22435946,1.029748284
,,,Austria,2021-01-07 5:22,47.5162,14.5501,372190,6525,344974,20691,Austria,4132.505774,1.753136839
,,,Azerbaijan,2021-01-07 5:22,40.1431,47.5769,222200,2818,201596,17786,Azerbaijan,2191.499802,1.268226823
,,,Bahamas,2021-01-07 5:22,25.025885,-78.035889,7945,175,6277,1493,Bahamas,2020.353568,2.202643172
,,,Bahrain,2021-01-07 5:22,26.0275,50.55,94284,353,91431,2500,Bahrain,5540.958037,0.374400747
,,,Bangladesh,2021-01-07 5:22,23.685,90.3563,518898,7687,463480,47731,Bangladesh,315.076777,1.481408678
,,,Barbados,2021-01-07 5:22,13.1939,-59.5432,743,7,327,409,Barbados,258.5507932,0.942126514
,,,Belarus,2021-01-07 5:22,53.7098,27.9534,204958,1480,186394,17084,Belarus,2169.023573,0.722099162
,,Antwerp,Belgium,2021-01-07 5:22,51.2195,4.4024,80872,0,0,80872,"Antwerp, Belgium",4352.670042,0
,,Brussels,Belgium,2021-01-07 5:22,50.8503,4.3517,82357,0,0,82357,"Brussels, Belgium",6814.574918,0
,,East Flanders,Belgium,2021-01-07 5:22,51.0362,3.7373,66356,0,0,66356,"East Flanders, Belgium",4379.748974,0
,,Flemish Brabant,Belgium,2021-01-07 5:22,50.9167,4.5833,49825,0,0,49825,"Flemish Brabant, Belgium",4347.06742,0
,,Hainaut,Belgium,2021-01-07 5:22,50.5257,4.0621,102957,0,0,102957,"Hainaut, Belgium",7659.117673,0
,,Liege,Belgium,2021-01-07 5:22,50.4496,5.8492,97625,0,0,97625,"Liege, Belgium",8818.943588,0
,,Limburg,Belgium,2021-01-07 5:22,50.9739,5.342,29907,0,0,29907,"Limburg, Belgium",3421.665629,0
,,Luxembourg,Belgium,2021-01-07 5:22,50.0547,5.4677,18618,0,0,18618,"Luxembourg, Belgium",6540.93972,0
,,Namur,Belgium,2021-01-07 5:22,50.331,4.8221,35734,0,0,35734,"Namur, Belgium",7228.847418,0
,,Unknown,Belgium,2021-01-07 5:22,,,10834,19883,0,-9049,"Unknown, Belgium",,183.5240908
,,Walloon Brabant,Belgium,2021-01-07 5:22,50.4,4.35,25372,0,0,25372,"Walloon Brabant, Belgium",6286.437776,0
,,West Flanders,Belgium,2021-01-07 5:22,51.0536,3.1458,55275,0,0,55275,"West Flanders, Belgium",4622.443962,0
,,,Belize,2021-01-07 5:22,17.1899,-88.4976,11108,260,10312,536,Belize,2793.615025,2.340655384
,,,Benin,2021-01-07 5:22,9.3077,2.3158,3304,44,3185,75,Benin,27.25353492,1.331719128
,,,Bhutan,2021-01-07 5:22,27.5142,90.4336,755,0,456,299,Bhutan,97.8471045,0
,,,Bolivia,2021-01-07 5:22,-16.2902,-63.5887,166981,9287,135186,22508,Bolivia,1430.485609,5.561710614
,,,Bosnia and Herzegovina,2021-01-07 5:22,43.9159,17.6791,113392,4211,79465,29716,Bosnia and Herzegovina,3456.214386,3.713665867
,,,Botswana,2021-01-07 5:22,-22.3285,24.6849,15440,45,12481,2914,Botswana,656.5672673,0.291450777
,,Acre,Brazil,2021-01-07 5:22,-9.0238,-70.812,42378,814,37712,3852,"Acre, Brazil",4805.116023,1.920807966
,,Alagoas,Brazil,2021-01-07 5:22,-9.5713,-36.782,106881,2529,101553,2799,"Alagoas, Brazil",3202.564185,2.366182951
,,Amapa,Brazil,2021-01-07 5:22,0.902,-52.003,69469,950,53600,14919,"Amapa, Brazil",8214.077526,1.367516446
,,Amazonas,Brazil,2021-01-07 5:22,-3.4168,-65.8561,207092,5500,172626,28966,"Amazonas, Brazil",4996.673983,2.655824464
,,Bahia,Brazil,2021-01-07 5:22,-12.5797,-41.7007,502938,9304,488294,5340,"Bahia, Brazil",3381.535909,1.849929812
